Material,Plant,Vendor,Week,ForecastQty,WIP,Stock,MRP BACKLOG,Price from Info Record,Price unit,Currency from Info Record,Safety Stock,ConsumptionQty,Deviation,DeviationPercent
45025W0215100100,MA10,0,W05-25,2111.0,0.0,13750.0,0.0,0.0,0.0,0,0.0,2483.0,372.0,17.62198010421601
45025W0333000195,MA10,404284,W05-25,0.0,63.0,4500.0,0.0,371.43,1000.0,EUR,0.0,48.0,48.0,0.0
45033Y1613000045,MA10,YZKMA90V,W05-25,468.0,519.0,1250.0,300.0,0.0,0.0,0,0.0,168.0,-300.0,-64.1025641025641
45033Y1613000060,MA10,YZKMA90V,W05-25,864.0,486.0,900.0,300.0,0.0,0.0,0,0.0,342.0,-522.0,-60.416666666666664
45033Y1613000110,MA10,0,W05-25,6655.0,906.0,4050.0,300.0,0.0,0.0,0,0.0,8306.0,1651.0,24.8084147257701
45033Y1613000130,MA10,0,W05-25,5402.0,813.0,3600.0,0.0,0.0,0.0,0,0.0,7477.0,2075.0,38.41169937060348
45033Y1613000140,MA10,YZKMA90V,W05-25,1077.0,340.0,400.0,300.0,0.0,0.0,0,0.0,463.0,-614.0,-57.01021355617456
45033Y1613000150,MA10,0,W05-25,333.0,0.0,1750.0,0.0,0.0,0.0,0,0.0,275.0,-58.0,-17.417417417417415
45042U0253000045,MA10,431842,W05-25,5101.0,0.0,35472.0,0.0,2.67,1000.0,EUR,0.0,4748.0,-353.0,-6.920211723191532
45042U0253000050,MA10,431842,W05-25,758.0,0.0,31920.0,0.0,2.96,1000.0,EUR,0.0,15.0,-743.0,-98.02110817941953
45042U0253000055,MA10,0,W05-25,10522.0,0.0,29008.0,1.0,0.0,0.0,0,0.0,10117.0,-405.0,-3.8490781220300323
45042U0253000065,MA10,0,W05-25,5415.0,33316.0,49056.0,0.0,0.0,0.0,0,0.0,5731.0,316.0,5.8356417359187445
45042U0253000075,MA10,0,W05-25,16597.0,28769.0,42496.0,730.0,0.0,0.0,0,0.0,9932.0,-6665.0,-40.15785985419051
45042U0253000080,MA10,431842,W05-25,16658.0,19727.0,39840.0,3497.0,4.74,1000.0,EUR,0.0,1000.0,-15658.0,-93.99687837675592
45042U0253000085,MA10,431842,W05-25,4866.0,5898.0,18736.0,0.0,5.04,1000.0,EUR,0.0,4859.0,-7.0,-0.14385532264693796
45042U0253000095,MA10,431842,W05-25,5874.0,17353.0,67008.0,3.0,5.63,1000.0,EUR,0.0,5912.0,38.0,0.6469186244467143
45042U0253000100,MA10,0,W05-25,5133.0,43314.0,15920.0,0.0,0.0,0.0,0,0.0,5572.0,439.0,8.552503409312292
45042U0253000105,MA10,431842,W05-25,1601.0,10575.0,15152.0,0.0,6.22,1000.0,EUR,0.0,1902.0,301.0,18.800749531542785
45042U0253000110,MA10,431842,W05-25,2312.0,10655.0,28928.0,0.0,6.52,1000.0,EUR,0.0,2556.0,244.0,10.55363321799308
45042U0253000115,MA10,0,W05-25,39759.0,32518.0,27648.0,23400.0,0.0,0.0,0,0.0,3574.0,-36185.0,-91.01084031288514
45042U0253000120,MA10,0,W05-25,17309.0,20077.0,13248.0,0.0,0.0,0.0,0,0.0,4500.0,-12809.0,-74.00196429603096
45042U0253000125,MA10,0,W05-25,2226.0,0.0,12720.0,0.0,0.0,0.0,0,0.0,45.0,-2181.0,-97.97843665768194
45042U0253000135,MA10,0,W05-25,2690.0,3955.0,11760.0,0.0,0.0,0.0,0,0.0,2839.0,149.0,5.5390334572490705
45042U0253000145,MA10,431842,W05-25,7383.0,12833.0,21888.0,0.0,8.59,1000.0,EUR,0.0,7441.0,58.0,0.7855885141541379
45042U0253000150,MA10,0,W05-25,2144.0,6414.0,10576.0,0.0,0.0,0.0,0,0.0,2144.0,0.0,0.0
45042U0253000165,MA10,431842,W05-25,2933.0,1262.0,9616.0,0.0,9.78,1000.0,EUR,0.0,2100.0,-833.0,-28.400954653937948
45042U0253000170,MA10,0,W05-25,1072.0,7247.0,9328.0,0.0,0.0,0.0,0,0.0,1072.0,0.0,0.0
45042U0253000175,MA10,431842,W05-25,2540.0,1866.0,9056.0,0.0,10.37,1000.0,EUR,0.0,2606.0,66.0,2.5984251968503935
45042U0253000180,MA10,0,W05-25,2254.0,8800.0,0.0,549.0,0.0,0.0,0,0.0,64.0,-2190.0,-97.1606033717835
45042U0253000185,MA10,431842,W05-25,2734.0,750.0,8560.0,0.0,10.96,1000.0,EUR,0.0,1518.0,-1216.0,-44.47695683979517
45042U0253000205,MA10,0,W05-25,944.0,6191.0,0.0,0.0,0.0,0.0,0,0.0,800.0,-144.0,-15.254237288135593
45042U0253000215,MA10,0,W05-25,4696.0,853.0,36800.0,2.0,0.0,0.0,0,0.0,5546.0,850.0,18.100511073253834
45042U0253000220,MA10,0,W05-25,1072.0,5103.0,7184.0,0.0,0.0,0.0,0,0.0,1072.0,0.0,0.0
45042U0253000345,MA10,0,W05-25,935.0,4302.0,4544.0,0.0,0.0,0.0,0,0.0,660.0,-275.0,-29.411764705882355
45042U0253000550,MA10,0,W05-25,7519.0,8448.0,0.0,950.0,0.0,0.0,0,0.0,160.0,-7359.0,-97.87205745444874
45042U0253000895,MA10,0,W05-25,1635.0,400.0,8480.0,0.0,0.0,0.0,0,0.0,1225.0,-410.0,-25.076452599388375
45042U0323000040,MA10,431842,W05-25,7440.0,1160.0,29940.0,2.0,3.03,1000.0,EUR,0.0,8625.0,1185.0,15.92741935483871
45042U0323000050,MA10,431842,W05-25,13650.0,61445.0,0.0,1.0,4.17,1000.0,EUR,0.0,1145.0,-12505.0,-91.6117216117216
45042U0323000050,MA10,431842,W05-25,13650.0,61445.0,0.0,1.0,4.17,1000.0,EUR,0.0,5215.0,-8435.0,-61.794871794871796
45042U0323000060,MA10,431842,W05-25,14281.0,95897.0,19932.0,1.0,4.55,1000.0,EUR,0.0,15873.0,1592.0,11.147678733982215
45042U0323000060,MA10,431842,W05-25,14281.0,95897.0,19932.0,1.0,4.55,1000.0,EUR,0.0,1940.0,-12341.0,-86.41551712064981
45042U0323000065,MA10,431842,W05-25,11722.0,23341.0,18396.0,26.0,4.93,1000.0,EUR,0.0,9005.0,-2717.0,-23.178638457601092
45042U0323000070,MA10,431842,W05-25,28762.0,30468.0,0.0,6.0,5.31,1000.0,EUR,0.0,6151.0,-22611.0,-78.61414366177596
45042U0323000075,MA10,431842,W05-25,6978.0,36691.0,0.0,0.0,5.69,1000.0,EUR,0.0,9235.0,2257.0,32.3445113212955
45042U0323000080,MA10,0,W05-25,573.0,11774.0,14940.0,3.0,0.0,0.0,0,0.0,201.0,-372.0,-64.92146596858639
45042U0323000085,MA10,431842,W05-25,389.0,14289.0,0.0,0.0,6.45,1000.0,EUR,0.0,471.0,82.0,21.079691516709513
45042U0323000090,MA10,431842,W05-25,65840.0,40450.0,26544.0,34.0,6.83,1000.0,EUR,0.0,26355.0,-39485.0,-59.97114216281896
45042U0323000095,MA10,431842,W05-25,18273.0,21132.0,25128.0,38.0,7.2,1000.0,EUR,0.0,818.0,-17455.0,-95.52344989875773
45042U0323000095,MA10,431842,W05-25,18273.0,21132.0,25128.0,38.0,7.2,1000.0,EUR,0.0,14326.0,-3947.0,-21.60017512176435
45042U0323000100,MA10,0,W05-25,435.0,1412.0,11940.0,103.0,0.0,0.0,0,0.0,1.0,-434.0,-99.77011494252874
45042U0323000100,MA10,0,W05-25,435.0,1412.0,11940.0,103.0,0.0,0.0,0,0.0,201.0,-234.0,-53.79310344827586
45042U0323000105,MA10,431842,W05-25,1278.0,1116.0,22728.0,113.0,7.96,1000.0,EUR,0.0,870.0,-408.0,-31.92488262910798
45042U0323000110,MA10,431842,W05-25,66737.0,52818.0,21696.0,29.0,8.34,1000.0,EUR,0.0,16194.0,-50543.0,-75.73459999700316
45042U0323000110,MA10,431842,W05-25,66737.0,52818.0,21696.0,29.0,8.34,1000.0,EUR,0.0,17130.0,-49607.0,-74.33207965596296
45042U0323000115,MA10,431842,W05-25,571.0,9222.0,0.0,1.0,8.72,1000.0,EUR,0.0,404.0,-167.0,-29.246935201401055
45042U0323000120,MA10,431842,W05-25,7604.0,23317.0,0.0,0.0,9.1,1000.0,EUR,0.0,9637.0,2033.0,26.735928458705942
45042U0323000125,MA10,431842,W05-25,237.0,6037.0,0.0,7.0,9.48,1000.0,EUR,0.0,220.0,-17.0,-7.172995780590717
45042U0323000130,MA10,431842,W05-25,23433.0,33488.0,0.0,15.0,9.86,1000.0,EUR,0.0,8066.0,-15367.0,-65.57845773055094
45042U0323000135,MA10,431842,W05-25,83827.0,34670.0,52920.0,29.0,10.24,1000.0,EUR,0.0,9444.0,-74383.0,-88.73394013861883
45042U0323000135,MA10,431842,W05-25,83827.0,34670.0,52920.0,29.0,10.24,1000.0,EUR,0.0,3408.0,-80419.0,-95.93448411609624
45042U0323000135,MA10,431842,W05-25,83827.0,34670.0,52920.0,29.0,10.24,1000.0,EUR,0.0,5369.0,-78458.0,-93.59514237656124
45042U0323000140,MA10,431842,W05-25,161.0,7689.0,0.0,15.0,10.62,1000.0,EUR,0.0,308.0,147.0,91.30434782608695
45042U0323000150,MA10,431842,W05-25,2148.0,4672.0,0.0,0.0,11.38,1000.0,EUR,0.0,1781.0,-367.0,-17.085661080074487
45042U0323000155,MA10,0,W05-25,15356.0,14602.0,23040.0,1.0,0.0,0.0,0,0.0,168.0,-15188.0,-98.90596509507684
45042U0323000155,MA10,0,W05-25,15356.0,14602.0,23040.0,1.0,0.0,0.0,0,0.0,12700.0,-2656.0,-17.29617087783277
45042U0323000165,MA10,431842,W05-25,22782.0,27935.0,36060.0,4.0,12.51,1000.0,EUR,0.0,15688.0,-7094.0,-31.138618207356682
45042U0323000165,MA10,431842,W05-25,22782.0,27935.0,36060.0,4.0,12.51,1000.0,EUR,0.0,6255.0,-16527.0,-72.54411377403213
45042U0323000170,MA10,431842,W05-25,23583.0,9346.0,48972.0,36.0,12.89,1000.0,EUR,0.0,23266.0,-317.0,-1.3441886104397236
45042U0323000185,MA10,431842,W05-25,1069.0,6420.0,0.0,1.0,14.03,1000.0,EUR,0.0,327.0,-742.0,-69.41066417212348
45042U0323000185,MA10,431842,W05-25,1069.0,6420.0,0.0,1.0,14.03,1000.0,EUR,0.0,435.0,-634.0,-59.30776426566885
45042U0323000190,MA10,431842,W05-25,13487.0,5109.0,25008.0,0.0,14.41,1000.0,EUR,0.0,14203.0,716.0,5.308815896789501
45042U0323000195,MA10,431842,W05-25,27328.0,21147.0,12168.0,14.0,14.79,1000.0,EUR,0.0,13005.0,-14323.0,-52.41144613583138
45042U0323000200,MA10,431842,W05-25,14706.0,3142.0,35640.0,1.0,15.17,1000.0,EUR,0.0,7624.0,-7082.0,-48.157214742282065
45042U0323000200,MA10,431842,W05-25,14706.0,3142.0,35640.0,1.0,15.17,1000.0,EUR,0.0,3222.0,-11484.0,-78.0905752753978
45042U0323000215,MA10,431842,W05-25,701.0,2932.0,0.0,0.0,16.31,1000.0,EUR,0.0,540.0,-161.0,-22.96718972895863
45042U0323000225,MA10,431842,W05-25,1374.0,11701.0,5268.0,1.0,17.06,1000.0,EUR,0.0,207.0,-1167.0,-84.93449781659389
45042U0323000225,MA10,431842,W05-25,1374.0,11701.0,5268.0,1.0,17.06,1000.0,EUR,0.0,870.0,-504.0,-36.681222707423586
45042U0323000230,MA10,431842,W05-25,8678.0,5933.0,10296.0,86.0,17.44,1000.0,EUR,0.0,7951.0,-727.0,-8.377506337865867
45042U0323000240,MA10,431842,W05-25,30656.0,24629.0,14796.0,143.0,18.2,1000.0,EUR,0.0,4631.0,-26025.0,-84.89365866388309
45042U0323000240,MA10,431842,W05-25,30656.0,24629.0,14796.0,143.0,18.2,1000.0,EUR,0.0,15270.0,-15386.0,-50.189196242171185
45042U0323000255,MA10,431842,W05-25,654.0,449.0,4644.0,0.0,19.34,1000.0,EUR,0.0,449.0,-205.0,-31.345565749235476
45042U0323000275,MA10,431842,W05-25,8614.0,5933.0,12888.0,6.0,20.86,1000.0,EUR,0.0,1898.0,-6716.0,-77.96610169491525
45042U0323000275,MA10,431842,W05-25,8614.0,5933.0,12888.0,6.0,20.86,1000.0,EUR,0.0,4825.0,-3789.0,-43.98653355003483
45042U0323000280,MA10,431842,W05-25,16941.0,8449.0,12672.0,4.0,21.24,1000.0,EUR,0.0,6150.0,-10791.0,-63.697538516026206
45042U0323000285,MA10,431842,W05-25,210.0,4232.0,0.0,0.0,21.61,1000.0,EUR,0.0,105.0,-105.0,-50.0
45042U0323000290,MA10,431842,W05-25,12302.0,10934.0,12204.0,0.0,21.99,1000.0,EUR,0.0,1427.0,-10875.0,-88.40026012030565
45042U0323000290,MA10,431842,W05-25,12302.0,10934.0,12204.0,0.0,21.99,1000.0,EUR,0.0,7775.0,-4527.0,-36.79889448870102
45042U0323000315,MA10,431842,W05-25,29368.0,18355.0,11232.0,0.0,23.89,1000.0,EUR,0.0,14875.0,-14493.0,-49.349632252792155
45042U0323000320,MA10,431842,W05-25,3153.0,983.0,11052.0,0.0,24.27,1000.0,EUR,0.0,3110.0,-43.0,-1.363780526482715
45042U0323000325,MA10,431842,W05-25,1164.0,7503.0,0.0,1.0,24.65,1000.0,EUR,0.0,870.0,-294.0,-25.257731958762886
45042U0323000335,MA10,431842,W05-25,3600.0,5065.0,24612.0,0.0,25.41,1000.0,EUR,0.0,50.0,-3550.0,-98.61111111111111
45042U0323000340,MA10,431842,W05-25,3600.0,3626.0,3468.0,0.0,25.79,1000.0,EUR,0.0,50.0,-3550.0,-98.61111111111111
45042U0323000345,MA10,431842,W05-25,7696.0,1.0,10224.0,3.0,26.16,1000.0,EUR,0.0,1081.0,-6615.0,-85.9537422037422
45042U0323000355,MA10,431842,W05-25,612.0,4810.0,0.0,1.0,26.92,1000.0,EUR,0.0,668.0,56.0,9.15032679738562
45042U0323000400,MA10,0,W05-25,191.0,7268.0,2940.0,1.0,0.0,0.0,0,0.0,100.0,-91.0,-47.64397905759162
45042U0323000410,MA10,431842,W05-25,2092.0,2947.0,2856.0,0.0,31.09,1000.0,EUR,0.0,3419.0,1327.0,63.4321223709369
45042U0323000415,MA10,0,W05-25,25900.0,2145.0,36660.0,0.0,0.0,0.0,0,0.0,14350.0,-11550.0,-44.5945945945946
45042U0323000450,MA10,431842,W05-25,120.0,1189.0,2604.0,0.0,34.13,1000.0,EUR,0.0,100.0,-20.0,-16.666666666666664
45042U0323000475,MA10,431842,W05-25,8165.0,0.0,12300.0,0.0,36.02,1000.0,EUR,0.0,1680.0,-6485.0,-79.42437232088182
45042U0323000475,MA10,431842,W05-25,8165.0,0.0,12300.0,0.0,36.02,1000.0,EUR,0.0,2140.0,-6025.0,-73.79056950398041
45042U0323000510,MA10,0,W05-25,45.0,351.0,0.0,0.0,0.0,0.0,0,0.0,30.0,-15.0,-33.33333333333333
45042U0323000515,MA10,431842,W05-25,11044.0,9734.004,0.0,0.0,39.06,1000.0,EUR,0.0,4700.0,-6344.0,-57.442955450923584
45042U0323000550,MA10,431842,W05-25,4294.0,1886.0,10560.0,0.0,41.71,1000.0,EUR,0.0,6268.0,1974.0,45.97112249650676
45042U0323000585,MA10,431842,W05-25,4294.0,809.0,23760.0,0.0,44.37,1000.0,EUR,0.0,6271.0,1977.0,46.040987424312995
45042U0323000600,MA10,431842,W05-25,12568.0,4087.0,30912.0,1.0,45.5,1000.0,EUR,0.0,14460.0,1892.0,15.054105665181414
45042U0323000600,MA10,431842,W05-25,12568.0,4087.0,30912.0,1.0,45.5,1000.0,EUR,0.0,870.0,-11698.0,-93.07765754296626
45042U0323000620,MA10,431842,W05-25,3563.0,1827.0,3744.0,8.0,47.02,1000.0,EUR,0.0,2605.0,-958.0,-26.887454392365985
45042U0323000635,MA10,431842,W05-25,12275.0,8726.0,25536.0,0.0,48.16,1000.0,EUR,0.0,18125.0,5850.0,47.657841140529534
